ID,Author,"""",?,/,@,_,*,;,!,',.
21381,"Howells, William Dean",0.005440425266830018,0.0016227567773959527,0.14044943820224715,0.16666666666666666,0.0036266463065470506,0.009195402298850576,0.029129600558171983,0.0028283742504808234,0.010274512275835986,0.024478528728908062
21382,"Fenn, George Manville",0.008222932846048423,0.0057273768613974796,0.14044943820224715,0.16666666666666666,0.016606222561557547,0.007662835249042149,0.008430722716437002,0.006335558321077044,0.00772164266128778,0.004862799583188608
21383,"Kingston, William Henry Giles",0.00883203898279275,0.004677357770141275,0.14044943820224715,0.16666666666666666,0.015079213590379843,0.007662835249042149,0.010407581836153264,0.004412263830750085,0.006870686123105045,0.014487852141642747
21386,"Kingston, William Henry Giles",0.015878289519221454,0.008781977854142803,0.14044943820224715,0.16666666666666666,0.052300057262836416,0.007662835249042149,0.018082446653875223,0.01617830071275031,0.014214125878533832,0.02909453209264913
21387,"Kingston, William Henry Giles",0.04674889599512715,0.018518518518518517,0.14044943820224715,0.16666666666666666,0.03263981675892345,0.007662835249042149,0.07320193034478749,0.0553230003394049,0.01304800025213527,0.0742308184493885
21388,"Kingston, William Henry Giles",0.014923100350236028,0.005822833142420772,0.14044943820224715,0.16666666666666666,0.01813323153273525,0.007662835249042149,0.017094017094017092,0.007919447901346306,0.005074222320274827,0.017970421016069178
21389,"Kingston, William Henry Giles",0.058474189127455466,0.031214203894616262,0.14044943820224715,0.16666666666666666,0.01546096583317427,0.007662835249042149,0.06994592708878422,0.04480144812761625,0.0331242711714835,0.060848978994899536
21390,"Kingston, William Henry Giles",0.02886332488890735,0.015177548682703322,0.14044943820224715,0.16666666666666666,0.02519564802443214,0.007662835249042149,0.04354904354904355,0.031790926575404464,0.016861546219546785,0.044990036745214894
21391,"Kingston, William Henry Giles",0.008748979055054888,0.0024818633066055746,0.14044943820224715,0.16666666666666666,0.06203473945409429,0.007662835249042149,0.02697831269259841,0.01187917185201946,0.01705064767247628,0.052320798522878915
21392,"Kingston, William Henry Giles",0.011143873638163269,0.005918289423444063,0.14044943820224715,0.16666666666666666,0.023286886810460008,0.007662835249042149,0.0141287284144427,0.006222423351057812,0.007847710296574113,0.016069176066251075
21393,"Kingston, William Henry Giles",0.03632487506402536,0.015082092401680031,0.14044943820224715,0.16666666666666666,0.014888337468982632,0.007662835249042149,0.03093203093203093,0.020251159633442692,0.020139304736991395,0.03859161624101936
21395,"Kingston, William Henry Giles",0.006783227431925468,0.0054410080183276074,0.14044943820224715,0.16666666666666666,0.017751479289940832,0.007662835249042149,0.01081458224315367,0.008371987781423238,0.0028995556115856158,0.010465987824719842
21401,"Kingston, William Henry Giles",0.020668078685438213,0.009259259259259259,0.14044943820224715,0.16666666666666666,0.015079213590379843,0.007662835249042149,0.042502471073899636,0.01153976694196176,0.009013835922972674,0.030008592164677068
21402,"Kingston, William Henry Giles",0.0035854202140177477,0.0013363879343260786,0.14044943820224715,0.16666666666666666,0.14525672838327924,0.007662835249042149,0.04395604395604395,0.0027152392804615905,0.015065082416716568,0.03526443757883768
21404,"Kingston, William Henry Giles",0.0493237537550009,0.0220504009163803,0.14044943820224715,0.16666666666666666,0.06833365146020233,0.007662835249042149,0.0400604686318972,0.03269600633555832,0.035834725330139615,0.05314345258770407
21416,"Alger, Horatio, Jr.",0.07244210030870607,0.0518327605956472,0.17415730337078653,0.16666666666666666,0.005917159763313609,0.03754789272030652,0.0018605732891447176,0.040954859146962334,0.032620000630338174,0.04065739200380249
21448,"Kingston, William Henry Giles",0.008555172556999875,0.002577319587628866,0.14044943820224715,0.16666666666666666,0.01374308074059935,0.007662835249042149,0.006570149427292284,0.0031677791605385225,0.004065681237984178,0.010941299062174366
21449,"Kingston, William Henry Giles",0.029403214419203457,0.009641084383352427,0.14044943820224715,0.16666666666666666,0.014315709104790991,0.007662835249042149,0.0282574568288854,0.015273220952596447,0.019824135648775568,0.0369828705142502
21450,"Kingston, William Henry Giles",0.023796669296897714,0.013936617029400536,0.14044943820224715,0.16666666666666666,0.014124832983393775,0.007662835249042149,0.015175300889586603,0.02579477316438511,0.014497778057928075,0.03201038372241823
21451,"Kingston, William Henry Giles",0.011393053421376855,0.005631920580374189,0.14044943820224715,0.16666666666666666,0.016415346440160336,0.007662835249042149,0.02558288272573987,0.01267111664215409,0.010715748999338144,0.019761978757243927
21452,"Kingston, William Henry Giles",0.029430901061782744,0.01718213058419244,0.14044943820224715,0.16666666666666666,0.017560603168543614,0.007662835249042149,0.05302633874062445,0.032130331485462155,0.023417063254436,0.041562311475110136
21454,"Kingston, William Henry Giles",0.006520204327422235,0.002577319587628866,0.14044943820224715,0.16666666666666666,0.014888337468982632,0.007662835249042149,0.01941973370544799,0.010069012331711731,0.007910744114217277,0.013162465037202245
21456,"Kingston, William Henry Giles",0.01250051912454836,0.003340969835815197,0.14044943820224715,0.16666666666666666,0.019087612139721318,0.007662835249042149,0.01395429966858538,0.0032809141305577554,0.006776135396640297,0.017440266174292975
21457,"Kingston, William Henry Giles",0.010520924180129296,0.010309278350515464,0.14044943820224715,0.16666666666666666,0.023477762931857226,0.007662835249042149,0.025292168149311005,0.00656182826111551,0.010463613728765482,0.032759912981481135
21458,"Kingston, William Henry Giles",0.02180323103118901,0.01011836578846888,0.14044943820224715,0.16666666666666666,0.030349303302156894,0.007662835249042149,0.021164021164021163,0.010860957121846362,0.0122600775315957,0.025474854207418515
21460,"Kingston, William Henry Giles",0.008195246203469134,0.006491027109583811,0.14044943820224715,0.16666666666666666,0.02042374498950181,0.007662835249042149,0.014652014652014654,0.005204208620884714,0.008194396293611522,0.014076525109230182
21463,"Kingston, William Henry Giles",0.030303030303030307,0.015559373806796487,0.14044943820224715,0.16666666666666666,0.017560603168543614,0.007662835249042149,0.02226873655445084,0.014707546102500284,0.0073434397554287874,0.018153233030474763
21464,"Kingston, William Henry Giles",0.009316555227930285,0.0040091638029782365,0.14044943820224715,0.16666666666666666,0.013933956861996563,0.007662835249042149,0.018838304552590262,0.013010521552211787,0.007217372120142455,0.012815122209831631
21465,"Kingston, William Henry Giles",0.04202832343535862,0.02214585719740359,0.14044943820224715,0.16666666666666666,0.016606222561557547,0.007662835249042149,0.04645618931333217,0.045367122977712414,0.043083614359103656,0.08559258514469571
21466,"Kingston, William Henry Giles",0.01713803175657904,0.008972890416189386,0.14044943820224715,0.16666666666666666,0.014315709104790991,0.007662835249042149,0.04226989941275655,0.011992306822038692,0.00545242522613382,0.02387524908136963
21467,"Kingston, William Henry Giles",0.010105624541439982,0.006109201985490646,0.14044943820224715,0.16666666666666666,0.014124832983393775,0.007662835249042149,0.01540787255072969,0.004751668740807783,0.007847710296574113,0.01186449973492258
21468,"Kingston, William Henry Giles",0.03075985990558855,0.016704849179075984,0.14044943820224715,0.16666666666666666,0.016606222561557547,0.007662835249042149,0.04104889819175533,0.02455028849417355,0.035298937880172715,0.04585839381364143
21469,"Kingston, William Henry Giles",0.010230214433046777,0.004581901489117984,0.14044943820224715,0.16666666666666666,0.014124832983393775,0.007662835249042149,0.007733007733007733,0.005543613530942414,0.006208831037851807,0.015054569386300069
