ID,Author,;,"""",!,-,?
1059,"Wells, H. G. (Herbert George)",0.013663585092156521,0.002886419396738345,0.010860957121846362,0.04557628580507513,0.014413898434516991
10599,"Snell, Roy J. (Roy Judson)",0.008547008547008546,0.07068119497763024,0.02760493268469284,0.03944800036315765,0.027109583810614738
10606,"MacDonald, George",0.03913018198732484,0.001118487516236109,0.015160085982577213,0.09927822415906308,0.06405116456662849
10658,"Bennett, Arnold",0.03209488923774638,0.1418675133496897,0.1384772033035411,0.09187888692178492,0.06204658266513938
10679,"Van Dyke, Henry",0.0025582882725739865,0.006314042430365131,0.0013576196402307953,0.005946706614008807,0.002768232149675449
10682,"Reid, Mayne",0.08360951218094075,0.003247221821330639,0.17400158388958026,0.22706432429978665,0.06624665903016419
10718,"Le Queux, William",0.01796616082330368,0.15795930148650594,0.05815137458988572,0.08820191565663445,0.05756013745704468
10724,"Alger, Horatio, Jr.",0.008430722716437002,0.16813392986000866,0.019119809933250367,0.01806709337691225,0.05450553646429936
10729,"Alger, Horatio, Jr.",0.013372870515727659,0.17830855823351133,0.02104310442357733,0.01820327749784375,0.060996563573883174
10736,"London, Jack",0.010640153497296356,0.07230480588829556,0.02545536825432741,0.054337464251668265,0.02233676975945017
10761,"Stevenson, Robert Louis",0.04285132856561428,0.02186462693029297,0.005996153411019345,0.03227563666076536,0.005059182894234441
10778,"Scott, Walter",0.006860864003721146,0.012664165103189491,0.012218576762077158,0.010168414362885287,0.003150057273768614
1078,"Altsheler, Joseph A. (Joseph Alexander)",0.0050002907145764285,0.10051955549141288,0.028170607534788995,0.015751963321076763,0.016036655211912946
10785,"Jacobs, W. W. (William Wymark)",0.0020350020350020353,0.01446817722615096,0.0021495644303654252,0.005674338372145808,0.0021954944635357012
10790,"Jacobs, W. W. (William Wymark)",0.0013372870515727655,0.012014720738923365,0.0015838895802692612,0.004085523627944982,0.0028636884306987398
10791,"Jacobs, W. W. (William Wymark)",0.0009302866445723588,0.013349689709914849,0.001810159520307727,0.0035407871442189845,0.003054600992745323
10792,"Jacobs, W. W. (William Wymark)",0.0014535728821443107,0.00974166546399192,0.0015838895802692612,0.0057651277861001425,0.002386407025582284
108,"Doyle, Arthur Conan",0.0027327170184313038,0.1756025400490691,0.0388052947165969,0.07249534704253485,0.07856051928216877
10815,"Richardson, James D. (James Daniel)",0.003779289493575208,0.0015153701832876314,0.0,0.006945390167506471,0.000286368843069874
1083,"Conrad, Joseph",0.02203616489330775,0.11628662144609613,0.03495870573594298,0.05628943665168642,0.05059182894234441
1085,"Carlyle, Thomas",0.11518111518111518,0.03438447106364555,0.02183504921371196,0.09941440827999456,0.010500190912562045
10858,"Richardson, James D. (James Daniel)",0.0198267341124484,0.012555924375811805,0.0010182147301730964,0.01861182986063825,0.007350133638793433
10871,"Jacobs, W. W. (William Wymark)",0.003197860340717484,0.02132342329340453,0.0013576196402307953,0.007853284307049799,0.005059182894234441
