ID,Author,/,_,*,e_E,t_T,n_N,a_A,i_I,h_H,s_S
43981,"Burnand, F. C. (Francis Cowley)",0.17415730337078653,0.0404657377362092,0.18237547892720307,0.006893736328064825,0.007217043325391503,0.007605197945960138,0.007473910848760186,0.007178851664470902,0.005901937361494186,0.0076518336968497734
4401,"Meredith, George",0.11797752808988762,9.543806069860659e-05,0.040613026819923376,0.018429878652634915,0.0173563723562567,0.01741200523454001,0.018412639545624682,0.01554081016749986,0.02149589407784053,0.01824702628561149
4402,"Meredith, George",0.11797752808988762,9.543806069860659e-05,0.040613026819923376,0.00790496437044177,0.008313478753672134,0.007670828576769941,0.008677497227115546,0.007806499868655088,0.009971376333460505,0.008688417691633123
4403,"Meredith, George",0.11797752808988762,9.543806069860659e-05,0.040613026819923376,0.012418628603118851,0.012440147116652405,0.01207006964802094,0.012999076277501348,0.011764894613254407,0.014372291123327769,0.013383401164751646
4404,"Meredith, George",0.11797752808988762,9.543806069860659e-05,0.040613026819923376,0.013836988719140488,0.014378570932895381,0.013977335555493684,0.015902449409882113,0.012633174716806335,0.016421603884312855,0.0145346614799991
4405,"Meredith, George",0.14044943820224715,0.0,0.007662835249042149,0.05439724646675381,0.05458120330318522,0.05315882214894574,0.05728796447960771,0.05039834605674502,0.06321598255478211,0.056391518449396265
4406,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.01482510926544571,0.015340843376280913,0.015453030345217118,0.016467328038240053,0.015723289357853724,0.015448023966327062,0.015811840892226744
4407,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.014891130682793496,0.01488746501353196,0.015289948171689731,0.015433720335287228,0.015947879130596948,0.016046348241406126,0.01685292199761653
4408,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.014700768929440713,0.014842744018566926,0.01459386572370698,0.01501993386284266,0.015101656951153732,0.01610472134141384,0.015820835113439614
4409,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.015502929150216331,0.01455745491275551,0.015301881013655153,0.015732470734479573,0.015450573205236953,0.015842042391379128,0.01649540170440492
4410,"Meredith, George",0.11235955056179776,9.543806069860659e-05,0.039846743295019166,0.017669531996179558,0.017579977331081863,0.017720270318646657,0.018618674303688368,0.018157682073124026,0.019240190713256743,0.01822004362197288
