ID,Author,/,w_W,h_H,e_E,u_U
23036,"Hancock, H. Irving (Harrie Irving)",0.0117124394184168,0.057252805029476585,0.05657788062020741,0.06164560281084482,0.048484566392825834
2305,"Conrad, Joseph",0.009693053311793216,0.08855279496157417,0.10128196466574334,0.09856625937385284,0.08683004026158392
23059,"Doyle, Arthur Conan",0.01009693053311793,0.0084458514648798,0.007773705367699219,0.007557816351145837,0.0069662624993212146
23087,"Seaman, Owen",0.020597738287560584,0.013658787600818857,0.01375282910515826,0.01476742356704599,0.013319680079437115
2309,"Galsworthy, John",0.009693053311793216,0.12135178369671006,0.12341654562037632,0.11219675913786774,0.09053813989930726
2310,"Harte, Bret",0.009693053311793216,0.043224861007013976,0.04627909333513496,0.043922596884996584,0.03898159137983197
23108,"Alger, Horatio, Jr.",0.0117124394184168,0.0633047330327878,0.05642586899976354,0.05832712779904557,0.05474489360546751
23129,"Reid, Mayne",0.01009693053311793,0.10686519078675064,0.11555416680741815,0.11253238240075517,0.09323000302543696
23140,"Reid, Mayne",0.01009693053311793,0.1231975658049288,0.16696787487754616,0.15963920499239606,0.12599781237636434
23144,"Reid, Mayne",0.01009693053311793,0.17444318906402068,0.180049319325744,0.18408516440295766,0.161061850791656
2315,"Wiggin, Kate Douglas Smith",0.009693053311793216,0.01759645609835222,0.01797115157247576,0.018094289160417432,0.015507303715081416
23163,"Kipling, Rudyard",0.0117124394184168,0.016343561576409787,0.017126642570009794,0.016542031569563163,0.012924046017671656
23193,"Reid, Mayne",0.01009693053311793,0.129943060418601,0.1521087389791575,0.14017095809953328,0.10968372547650633
23205,"Bell, George",0.01211631663974152,0.01990088709406777,0.023629361888997738,0.02521999056059573,0.02089878749796365
23218,"Wells, H. G. (Herbert George)",0.01009693053311793,0.004027160963386395,0.004433672262946322,0.0044071529707902886,0.003064224596026593
2324,"Collins, Wilkie",0.011308562197092085,0.040327542425022095,0.04009306489207175,0.03585924799412659,0.02975012993863794
23268,"Reid, Mayne",0.01009693053311793,0.14123029767431455,0.13699625038002902,0.13644763752687608,0.1194426990000543
2327,"James, Henry",0.009693053311793216,0.047721857416128784,0.04726716886802013,0.04481829146782736,0.03995128270768849
2328,"Cooper, James Fenimore",0.009693053311793216,0.005940062420994933,0.006046684457656319,0.0064271854842938795,0.005166515394819521
23282,"Bell, George",0.012520193861066236,0.01867036568858859,0.02195723406411512,0.0255220514971944,0.022729564724956755
23286,"Stratemeyer, Edward",0.0117124394184168,0.0814381439262582,0.07224352261595109,0.0696355341129582,0.05950025987727586
